word,count
explicando,2
básicos,9
creados,4
desarrollan,4
didácticas ,2
especifica,2
educativo,1
dirigida ,1
criterio,2
estándar,1
aprendizaje ,4
guía,33
herramienta ,1
educativos,2
sección,8
dedicada,6
dirigidos,6
educativa,1
50,4
recursos ,2
educaign ,1
encuentran,5
divididos,2
edad,3
recomendada ,1
recurso,3
tema ,4
contenidos,15
educaign,1
abiertos ,2
gratuito ,3
enlace,1
internacionales,5
aunque,44
creado,3
específicamente,2
educación ,4
valiosos,2
comparadorde,1
 ign  ,3
celia,1
sevilla,7
sánchez ,1
velasco,1
tirado,1
 coord ,6
978 84 416 5642 0,1
152,1
suelo» ,1
desarrollar,9
geotecnológicas,1
aplicada ,3
manera ,4
fundamentos,21
teórico metodológicos,3
sustentan,3
cuantitativa,13
racionalista ,1
obra ,13
orientan,2
caracterizar,1
dinámica,10
socio,1
habitacional,1
franja,3
urbano rural,1
metropolitana,1
aires ,4
procedimientos,19
metodológicos,6
enmarcan,1
combinan,2
aplicaron,2
diversos,26
obtención,4
integrando,2
visual,5
satelitales ,1
llegar,8
definir,6
tipología,3
coberturas,8
cortes,2
temporales ,4
2000,5
2010 ,5
procedió,2
integrar,2
generada,2
elaborar,4
homogénea,1
insumo,3
metodológica,5
cambios ,3
tabulación,2
cruzada,1
generando,2
cuantitativa ,13
cálculo,7
dinámica ,1
cuya,7
finalidad,1
identificar,4
persistencias ,1
ganancias ,1
pérdidas ,1
neto,1
total ,2
intercambios,1
categorías,2
además ,5
socio habitacional,1
partidos,1
proveniente,1
censo,2
hogares,1
 indec ,1
2010  ,1
cuantitativas,1
propias,5
exploratorio,4
multivariado ,1
compone,3
seis,15
capítulos ,13
bibliografía,11
didáctico ,2
5 ,5
exploratoria,1
multivariada,1
6 ,5
consideraciones,3
presentada,1
aprobada,1
máxima,1
calificación,1
maestría,3
impartida,1
tan,18
obtenido,2
dedicación,1
científicos ,5
acervo,1
relativa,3
marginal,2
director,5
luis,23
humacata,5
licenciatura ,1
especialización,2
reseña,14
revista,7
geosig ,1
impresiones,1
978 987 47904 0 8,1
180,4
21,13
seleccionados,3
representatividad ,2
singularidad,3
valor,10
estético,2
histórico ,4
reclaman,2
protagonismo,3
sebastián,8
 anagrama,1
2011 ,3
michel,1
houellebecq,2
 1956 ,1
observar,3
sociedades,2
occidentales,1
virtual,4
gana,1
terreno,4
encima,1
representado ,1
escepticismo,1
sentido,6
humor ,1
novela ,4
lado,3
contiene,11
descripciones,2
maravillosa ,1
frases,2
contundentes,1
acostumbra,1
nada ,1
interesante,2
territorio» ,5
juego,1
fijarnos,1
mas,8
funcionan,2
pasan,1
objetos,8
estudio ,12
igual,10
sucede,2
cartografía» ,3
asunción,1
urzainki ,1
núcleo,1
central,6
especulación,1
objeto,10
“pre texto” ,1
sirve,6
acotar,1
contenidos» ,1
marichalar,5
reunido,2
sobresalientes,1
croquis,2
1529 ,1
mismos ,2
inseparable,1
gráfica ,3
fases,2
imaginario,1
san,13
plano,4
álvaro,1
gonzález,3
iribas,1
 1906 ,1
temporal,6
divide,5
siete,4
bloques,5
cronológicos ,1
1180 1638 ,1
concesión,2
villazgo,1
rey,11
1864 1936 ,1
derribo,1
murallas,1
inicio,1
guerra,10
civil ,7
medias,1
1638 1719,1
consolidación,4
urbana ,6
1719,1
sitio,2
1719 1813,1
horizontes ,1
1813,1
horrores,1
1813 1864,1
incertidumbre ,2
realiza,5
acompaña,4
seleccionada,1
catalográfica ,1
total,8
escogido,1
71,1
localizado,1
354,1
universidades ,3
bibliotecas,5
archivos,8
militares,2
civiles,4
incluido,3
rufo,1
volúmenes,7
extremadura,4
recogían,1
419,1
extremadura ,3
catalogados,1
inventariados,1
correspondientes,5
fichas,2
bibliográfica ,2
texto,37
borges,1
rigor,4
ciencia ,12
argentino,2
ironiza,1
limitaciones,6
científico ,4
recortada,1
realidad ,2
respecto,7
germán,1
castro,1
instructiva,1
columna,2
prensa,3
da,7
tuerca,1
interpretación,6
microficción,1
borges ,1
destacando,2
 aunque,1
solo,26
animales,1
mendigos,1
habitan  ,1
